tokenID,name,description,file_name,external_url,attributes[Season],attributes[Access],attributes[Network]
47,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
48,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
49,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
50,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
51,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
52,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
53,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
54,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
55,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
56,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
57,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
58,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
59,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
60,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
61,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
62,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
63,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
64,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
65,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
66,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
67,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
68,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
69,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
70,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
71,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
72,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
73,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
74,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
75,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
76,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
77,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
78,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
79,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
80,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
81,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
82,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
83,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
84,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
85,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
86,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
87,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
88,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
89,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
90,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
91,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
92,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
93,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
94,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
95,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
96,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
97,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
98,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
99,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
100,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
101,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
102,HoodPass,"Season 01 HoodPass on Robinhood Chain. This pass is the door to HoodShares: claim your included pack, open cards, and play Daily Lineup. It is a digital collectible. It is not a security, not a derivative, and not a claim on any stock or company.",hoodpass.png,https://www.hoodshares.xyz,01,HoodPass,Robinhood Chain
